How's the sound quality and everything	音质什么的怎么样
I think that's the thing about Counter-Strike that I love the most. It never stops. Counter-Strike is living and it's changing all the time	我觉得这就是我最喜欢CS的地方了 CS从不停歇 CS是有生命的 它一直在变化
And we see NaVi now, why are they the best team? Everybody's watching Navi demos. All in-game leaders are watching Navi demos. What are they doing since they can win so much? Right	为什么现在的NaVi是世界上最好的队伍呢。每个人，包括所有的指挥都在看他们的录像，试图从中发现他们成功的奥秘。
And I love that. You’re like this is the team you want to beat. This is the team. How do we beat them? What do they do good? Can we copy some of that? Can we do it even better	我喜欢这一点。这是你想要击败的对手，就是这个队，我们怎么击败他们？他们哪里做的好？我们可以借鉴过来吗？我们可以做得更好吗？
And I just love it like that's why I love CS like it's not only about shooting. It's a small part of it, a big part sometimes you can't kill but I think Counter-Strike is a lifestyle, is a passion. It's being on the stage and being in the zone, in a cage where you fight the other tea	这就是为什么我热爱CS 枪法只是其中的一小部分，有时你打不死人就变成很大一部分了，但是对于我来说CS是一种生活方式，是一种热爱，是在舞台上，是专心致志在笼子里与对面厮杀
so yeah, passion, never stop thinking about it. Counter-Strike breathes. That's my point of view	热爱，从不停止思考，CS会呼吸，这就是我的想法
Amazing. Thank you so much. All right. Everybody say thank you karrigan, bye karrigan	太棒了，太感谢你了。好的大家说谢谢大表哥，拜拜大表哥
How do you say thank you?	谢谢中文咋说?
Wow your Chinese pronunciation is very good. -My fiancee loves Shanghai. So I’m preparing to get to Shanghai soon	你发音不错嘛 - 我未婚妻很喜欢上海，所以我们可能不久后会来上海
That'd be amazing. Let us know when you get here. And hopefully, you know, next year when COVID dies down, there'll be Funspark, IEM Beijing. Hey, maybe I'll be like an interviewer there. I don't know. We'll see	那太好了。你到上海请务必告知我们。到了明年，疫情有望结束的时候，这边就能有Funspark，IEM 北京的比赛了。说不定到时候我会主持做采访工作呢，让我们拭目以待吧。
Come say hello, then. -Yeah. Well, thank you so much. I'm gonna let you go. I know that you're a very busy man. And please thank Stefan for coordinating -I will. -He's been just super patient with me and just thank you guys. Thank you so much	到时候来打招呼。-非常感谢你，我不再耽误你了，我知道你很忙。同时也请谢谢Stefan做的协调工作。-我会的。 -他对我十分有耐心，非常感谢
Yeah, I couldn't do it before now because we had too many tournaments -of course -so I appreciate you waiting as well	是的之前我们有太多的比赛了，所以我没法做这个采访。-完全明白 -我也十分感谢你为此所做的等待。
